titleCroatian,titleEnglish,genre,CEFR,croatian,english
Jedan dan u zabavnom parku,A Day at an Amusement Park,monologue,A1,"Jučer sam bio u zabavnom parku. Došao sam s prijateljima ujutro. Kupili smo karte na ulazu. Vozili smo se na velikom vrtuljku i svi smo se smijali. Poslije smo išli na vlak smrti i bilo je malo strašno, ali i zabavno. Jeli smo sladoled i pili sok. Hodali smo kroz park i gledali mnogo šarenih igara. Na kraju dana bili smo umorni, ali sretni. Bilo je lijepo provesti cijeli dan u zabavnom parku.","Yesterday I was at an amusement park. I came with friends in the morning. We bought tickets at the entrance. We rode on the big carousel and everyone laughed. Later we went on the roller coaster and it was a little scary, but also fun. We ate ice cream and drank juice. We walked through the park and saw many colorful games. At the end of the day we were tired but happy. It was nice to spend the whole day at the amusement park."
Jedan dan u knjižnici,A Day at the Library,monologue,A2,"Jučer sam proveo cijelo prijepodne u knjižnici. Došao sam rano jer sam htio naći mirno mjesto za učenje. Knjižnica je velika i tiha, s mnogo stolova i polica punih knjiga. Prvo sam posudio jednu knjigu o povijesti i jednu knjigu na engleskom jeziku. Zatim sam sjeo za stol i čitao nekoliko sati. Oko mene su studenti učili i pisali zadaće. Ponekad je netko došao pitati knjižničarku za pomoć, ali većinom je bilo vrlo mirno. U pauzi sam otišao do kafića u blizini, popio kavu i vratio se. Na kraju dana vratio sam knjige na policu i otišao kući zadovoljan jer sam puno naučio.","Yesterday I spent the whole morning in the library. I came early because I wanted to find a quiet place to study. The library is big and quiet, with many tables and shelves full of books. First I borrowed a book about history and a book in English. Then I sat at a table and read for several hours. Around me, students were studying and writing homework. Sometimes someone came to ask the librarian for help, but most of the time it was very quiet. During the break I went to a café nearby, drank coffee, and returned. At the end of the day I put the books back on the shelf and went home satisfied because I had learned a lot."
Jedan dan u zoološkom vrtu,A Day at the Zoo,monologue,A1,"Prošli vikend bio sam u zoološkom vrtu. Došao sam s obitelji ujutro. Vidjeli smo lava kako leži na suncu. Majmuni su skakali i igrali se. Djeca su se smijala jer je majmun bio smiješan. Vidjeli smo i žirafe s dugim vratovima i slona koji je jeo travu. Kupili smo sendviče i sok u malom kafiću. Hodali smo kroz vrt i gledali ptice i ribe. Na kraju dana svi smo bili umorni, ali sretni. Bio je to lijep dan u zoološkom vrtu.",Last weekend I was at the zoo. I came with my family in the morning. We saw a lion lying in the sun. The monkeys were jumping and playing. The children laughed because the monkey was funny. We also saw giraffes with long necks and an elephant eating grass. We bought sandwiches and juice in a small café. We walked through the zoo and saw birds and fish. At the end of the day we were all tired but happy. It was a nice day at the zoo.
Jedan dan na selu,A Day in the Countryside,monologue,A1,"U nedjelju sam bio na selu. Došao sam kod bake i djeda ujutro. Kuća je mala, ali lijepa. U dvorištu je bila kokoš i pas. Hodao sam po polju i vidio sam krave i ovce. Sunce je sjalo i bilo je mirno. Baka je kuhala ručak, a djed je radio u vrtu. Jeli smo juhu i kruh, a poslije smo pili kavu. Popodne sam sjedio pod drvetom i čitao knjigu. Na kraju dana vratio sam se kući umoran, ali sretan.","On Sunday I was in the countryside. I went to my grandparents in the morning. The house is small but nice. In the yard there was a chicken and a dog. I walked through the field and saw cows and sheep. The sun was shining and it was peaceful. Grandma cooked lunch and grandpa worked in the garden. We ate soup and bread, and later we drank coffee. In the afternoon I sat under a tree and read a book. At the end of the day I returned home tired but happy."
,A Dinner for Two,dialogue,A2,,
,A Song of Ice and Fire,fantasy,B1,,
,AI and Medicine,technology,B2,,
,Alan Watts,biography,C,,
,Albert Einstein,biography,A2,,
,Alternate History,fantasy,B2,,
,An Enemy of the People,drama,C,,
,Ancient Rome,history,B2,,
,Animal Crossing,culture,B1,,
,Animal Rights,philosophy,B2,,
,Antiheroes,drama,B1,,
,April in Norway,culture,B1,,
,Arbeiderpartiet,politics,C,,
,Artificial Intelligence,technology,A2,,
,Artificial Intelligence in Fiction,science fiction,B2,,
,Asking for Directions,dialogue,A1,,
,Asking for Help at the Airport,dialogue,A1,,
,Asking for Wi-Fi Access,dialogue,A1,,
,At the Dentist,dialogue,A1,,
,Atheism,philosophy,B2,,
,Atomic Habits,psychology,B1,,
,August in Norway,culture,B1,,
,Authoritarian Populism,politics,C,,
Pečenje keksa,Baking Cookies,monologue,A1,"Danas pečem kekse u kuhinji. Uzimam brašno, šećer, jaje i malo maslaca. Miješam sve u velikoj zdjeli. Tijesto je mekano i lijepo miriše. Pravim male kuglice i stavljam ih na pladanj. Pečem kekse u pećnici dvadeset minuta. Dok čekam, pijem čaj i gledam kroz prozor. Kada su keksi gotovi, oni su topli i slatki. Dajem kekse prijateljima i svi smo sretni.","Today I am baking cookies in the kitchen. I take flour, sugar, an egg, and some butter. I mix everything in a big bowl. The dough is soft and smells nice. I make small balls and put them on a tray. I bake the cookies in the oven for twenty minutes. While I wait, I drink tea and look out the window. When the cookies are done, they are warm and sweet. I give the cookies to friends and we are all happy."
,Bergen,travel,A2,,
,Berlin,travel,B1,,
,Biohacking,health,B1,,
,Bioluminescent Animals,science,B1,,
,Birth Order Theory,psychology,B1,,
,Black Holes,science,B2,,
,Blue Whales,science,A2,,
,Blue Zones,health,B1,,
,Book Burnings,history,B2,,
,Booking a Hotel Room,dialogue,A1,,
,Buddhism,philosophy,B1,,
,Budget Travel Tips,travel,A2,,
,Buying Souvenirs,dialogue,A2,,
,Capsule Hotels,travel,A2,,
,Cashless Societies,technology,B2,,
,Catching Up After Years Apart,dialogue,C,,
,Checking into a Hotel,dialogue,A1,,
,Christianity,philosophy,B2,,
,Circadian Rhythms,health,B2,,
,City Parks,travel,A2,,
Čistim svoju sobu,Cleaning My Room,monologue,A1,Danas čistim svoju sobu. Prvo otvaram prozor da uđe svjež zrak. Zatim uzimam metlu i čistim pod. Stavljam odjeću u ormar i bacam smeće u koš. Brišem stol i stavljam knjige na policu. Poslije namještam krevet i mijenjam posteljinu. Moja soba sada izgleda lijepo i uredno. Osjećam se dobro kada je soba čista.,Today I am cleaning my room. First I open the window to let in fresh air. Then I take a broom and clean the floor. I put clothes in the closet and throw the trash in the bin. I wipe the table and put books on the shelf. Afterwards I make the bed and change the sheets. My room now looks nice and tidy. I feel good when the room is clean.
,Clichés,drama,B1,,
,Climate Change,science,B1,,
,Cognitive Biases,psychology,B2,,
,Colonialism,history,C,,
,Comfort Food,food,A2,,
,Compasses,technology,A2,,
,Complaining About a Service,dialogue,B1,,
,Confessions of a Bored Vampire,monologue,B1,,
,Conspiracy Theories,psychology,B2,,
,Conveyor Belt Sushi,food,A2,,
,Cooking in a Hostel Kitchen,monologue,B1,,
,Craving Versus Longing,psychology,B2,,
,Cyberpunk,science fiction,B2,,
Opasnosti društvenih mreža,Dangerous Aspects of Social Media,technology,A1,"Društvene mreže mogu biti zabavne, ali imaju i opasnosti. Ljudi ponekad provode previše vremena na telefonu i zaborave na školu ili posao. Na mrežama se mogu pojaviti lažne vijesti koje nisu istinite. Djeca i mladi mogu dobiti ružne poruke od drugih ljudi. Također, osobni podaci mogu biti nesigurni. Zato je važno biti pažljiv i koristiti društvene mreže na siguran način.","Social media can be fun, but it also has dangers. People sometimes spend too much time on their phones and forget about school or work. On social media false news can appear that is not true. Children and young people can receive mean messages from other people. Also, personal data can be unsafe. That’s why it is important to be careful and use social media in a safe way."
,Dead Languages,language,B1,,
,Death in Philosophy,philosophy,C,,
,December in Norway,culture,B1,,
,Democracy in Ancient Athens,history,B1,,
Oaze u pustinji,Desert Oases,science,A1,"Oaza je mjesto u pustinji gdje ima vode i biljaka. U oazi rastu palme, trava i ponekad voće. Ljudi u pustinji dolaze u oazu da piju vodu i odmaraju. Životinje također traže oazu jer je tamo hladnije i ima hrane. Oaze su važne za putnike i karavane koji prolaze kroz pustinju. Bez oaza život u pustinji bio bi mnogo teži.","An oasis is a place in the desert where there is water and plants. In an oasis palm trees, grass, and sometimes fruit grow. People in the desert come to an oasis to drink water and rest. Animals also look for an oasis because it is cooler there and there is food. Oases are important for travelers and caravans that pass through the desert. Without oases life in the desert would be much harder."
,Digital Detoxes,health,B1,,
,Digital Nomads,culture,B2,,
,Dinosaurs,science,A2,,
,Discussing an Allergy,dialogue,A1,,
Imaju li životinje osobnost?,Do Animals Have Personalities?,psychology,A1,"Mnogi ljudi misle da životinje imaju osobnost. Psi mogu biti veseli, mirni ili znatiželjni. Mačke ponekad vole igru, a ponekad žele biti same. Neki konji su hrabri, a neki se lako uplaše. Papige mogu biti glasne i vole pažnju. Kao i ljudi, životinje pokazuju različita ponašanja. Zato mnogi vlasnici kažu da njihove životinje imaju posebnu osobnost.","Many people think that animals have personality. Dogs can be cheerful, calm, or curious. Cats sometimes like to play, and sometimes they want to be alone. Some horses are brave, and some are easily frightened. Parrots can be loud and like attention. Like people, animals show different behaviors. That’s why many owners say that their animals have a special personality."
,Domestication,science,B1,,
,Don Quixote,drama,A2,,
,Dracula,horror,B1,,
,Dreams as a Narrative Devices,drama,B2,,
,Dualities in Characters,drama,B2,,
Potresi,Earthquakes,science,A1,"Potres je jako kretanje tla. On se događa kada se zemlja iznenada pomakne. Ponekad potres traje samo nekoliko sekundi, ali može biti vrlo snažan. U potresu se kuće i ceste mogu srušiti. Ljudi trebaju tražiti sigurno mjesto, na primjer ispod stola ili uza zid. U mnogim zemljama postoje pravila kako se zaštititi u potresu. Potresi pokazuju koliko je priroda jaka.","An earthquake is a strong movement of the ground. It happens when the earth suddenly shifts. Sometimes an earthquake lasts only a few seconds, but it can be very strong. In an earthquake houses and roads can collapse. People need to find a safe place, for example under a table or by a wall. In many countries there are rules on how to protect yourself in an earthquake. Earthquakes show how strong nature is."
,Edvard Munch,biography,A2,,
,Envy,psychology,C,,
,Eternal Sunshine of the Spotless Mind,drama,B2,,
,Ethical Consumerism,philosophy,B2,,
,Existentialism,philosophy,C,,
,Exoplanets,science,B2,,
,Exploring a Forest,monologue,A2,,
,Exploring a Haunted House,horror,B2,,
,Exploring Paris,monologue,A2,,
,Fascism,politics,C,,
,February in Norway,culture,B1,,
,Feminism,politics,B2,,
,Fermented Foods,food,C,,
Kutija prve pomoći,First Aid Kits,health,A1,"Kutija prve pomoći je važna u svakoj kući, školi i autu. U njoj se nalaze zavoji, flasteri, škare i rukavice. Tu su i tablete protiv boli, termometar i dezinfekcijsko sredstvo. Ljudi koriste kutiju prve pomoći kada se netko poreže ili ozlijedi. U bolnicama i na radnim mjestima također uvijek postoji kutija prve pomoći. Ona pomaže da mala rana ili bolest brzo dobije prvu njegu.","A first aid kit is important in every home, school, and car. In it there are bandages, plasters, scissors, and gloves. There are also pain tablets, a thermometer, and disinfectant. People use a first aid kit when someone gets cut or injured. In hospitals and at workplaces there is always a first aid kit. It helps a small wound or illness quickly get first care."
,Flavor Pairing,food,B1,,
Leteći automobili,Flying Cars,science fiction,A1,"Leteći automobili su vozila koja mogu voziti po cesti i letjeti na nebu. Danas ih još nema puno, ali ljudi ih zamišljaju u budućnosti. Oni bi mogli pomoći da nema velikih gužvi u gradu. Leteći automobil izgleda kao mješavina auta i malog aviona. Ljudi misle da će putovanje biti brže i lakše. Još se mora napraviti mnogo testova da bi leteći automobili bili sigurni.","Flying cars are vehicles that can drive on the road and fly in the sky. Today there are not many yet, but people imagine them in the future. They could help so there are no big traffic jams in the city. A flying car looks like a mix of a car and a small airplane. People think travel will be faster and easier. Many more tests must be done before flying cars are safe."
,Formal Norwegian,language,A2,,
,Francoist Spain,history,B2,,
,Frankenstein,horror,B1,,
,Free Will,philosophy,C,,
,Fremskrittspartiet,politics,C,,
,Friedrich Nietzsche,biography,B2,,
,Fungi,science,B1,,
,Game Design,technology,B1,,
,Gay Icons,culture,B2,,
,George Orwell,biography,A2,,
,Getting a Haircut,dialogue,A1,,
,GPS,technology,A2,,
,Handling a Disagreement,dialogue,B1,,
,Hannah Arendt,biography,B1,,
